depth,seldepth,score_cp,nodes,nps,time_ms
1,3,4,49,49,0
2,9,3,431,431,0
3,9,-5,1001,1001,0
4,12,-1,1311,1311,0
5,14,11,3754,3754000,1
6,19,17,7250,2416666,3
7,14,17,8740,2913333,3
8,15,17,10781,2695250,4
9,19,17,14575,2429166,6
10,21,15,36429,2276812,16
11,20,14,54661,2186440,25
12,24,17,94191,2047630,46
13,29,13,320177,2178074,147
14,23,13,348811,2193779,159
15,31,24,643991,2197921,293
16,28,15,727802,2192174,332
17,27,13,851309,2194095,388
18,28,18,1091871,2201352,496
19,37,13,1372126,2213106,620
20,34,17,1875992,2230668,841
21,37,30,5200459,2195212,2369
22,33,30,5886795,2195745,2681
23,34,30,6888262,2199317,3132
24,37,37,11144370,2200704,5064
25,37,37,13053758,2211751,5902
26,39,31,22532292,2206668,10211
27,37,42,41051979,2208282,18590
