game,score_a,result,plies,a_white
0,0.0,0-1,148,True
1,1.0,0-1,140,False
2,0.5,1/2-1/2,161,True
3,1.0,0-1,146,False
4,0.0,0-1,122,True
5,0.5,1/2-1/2,55,False
6,0.5,1/2-1/2,87,True
7,0.0,1-0,121,False
8,1.0,1-0,125,True
9,1.0,0-1,206,False
10,0.5,1/2-1/2,279,True
11,0.0,1-0,157,False
12,0.5,1/2-1/2,153,True
13,1.0,0-1,144,False
14,0.5,1/2-1/2,90,True
15,0.5,1/2-1/2,45,False
16,0.5,1/2-1/2,87,True
17,1.0,0-1,322,False
18,1.0,1-0,161,True
19,0.0,1-0,135,False
20,0.5,1/2-1/2,26,True
21,0.5,1/2-1/2,129,False
22,0.5,1/2-1/2,138,True
23,1.0,0-1,134,False
24,0.5,1/2-1/2,80,True
25,0.0,1-0,167,False
26,0.0,0-1,166,True
27,0.5,1/2-1/2,225,False
28,1.0,1-0,159,True
29,0.0,1-0,209,False
