game,score_a,result,plies,a_white
0,1.0,1-0,181,True
1,1.0,0-1,126,False
2,0.0,0-1,154,True
3,1.0,0-1,120,False
4,1.0,1-0,85,True
5,0.5,1/2-1/2,189,False
6,1.0,1-0,69,True
7,1.0,0-1,130,False
8,0.5,1/2-1/2,169,True
9,1.0,0-1,106,False
10,1.0,1-0,123,True
11,1.0,0-1,106,False
12,1.0,1-0,155,True
13,1.0,0-1,184,False
14,1.0,1-0,177,True
15,0.5,1/2-1/2,89,False
16,0.5,1/2-1/2,122,True
17,0.0,1-0,211,False
18,0.5,1/2-1/2,294,True
19,0.5,1/2-1/2,98,False
20,1.0,1-0,159,True
21,1.0,0-1,168,False
22,1.0,1-0,141,True
23,0.0,1-0,125,False
24,0.5,1/2-1/2,105,True
25,1.0,0-1,298,False
26,1.0,1-0,113,True
27,1.0,0-1,122,False
28,0.5,1/2-1/2,93,True
29,1.0,0-1,140,False
30,0.5,1/2-1/2,235,True
31,1.0,0-1,108,False
32,0.5,1/2-1/2,144,True
33,0.5,1/2-1/2,99,False
34,0.0,0-1,108,True
35,1.0,0-1,146,False
36,1.0,1-0,137,True
37,0.0,1-0,117,False
38,0.5,1/2-1/2,141,True
39,0.5,1/2-1/2,132,False
